Thu Sep 14 20:55:59 2023    ./out/stats.dmp

         68059 function calls (67973 primitive calls) in 1.797 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      328    0.002    0.000    0.003    0.000 C:\Users\Kind1\dwhelper\ammtl\lib\misc.py:60(crop)
      390    0.003    0.000    0.003    0.000 C:\Users\Kind1\dwhelper\ammtl\lib\types\page.py:69(<listcomp>)
      204    0.003    0.000    0.003    0.000 {built-in method numpy.asarray}
      402    0.001    0.000    0.003    0.000 <__array_function__ internals>:177(where)
    10237    0.002    0.000    0.002    0.000 {built-in method builtins.len}
      192    0.000    0.000    0.002    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\utils\_param_validation.py:74(<listcomp>)
     2508    0.001    0.000    0.002    0.000 {built-in method builtins.isinstance}
       96    0.000    0.000    0.002    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\utils\_param_validation.py:467(is_satisfied_by)
       12    0.002    0.000    0.002    0.000 {sklearn.cluster._dbscan_inner.dbscan_inner}
       12    0.000    0.000    0.002    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\joblib\parallel.py:669(__init__)
       12    0.001    0.000    0.002    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\cluster\_dbscan.py:397(<listcomp>)
      312    0.001    0.000    0.002    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\utils\_param_validation.py:103(make_constraint)
     5718    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
      216    0.001    0.000    0.001    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\inspect.py:2630(__init__)
       24    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(sum)
     2216    0.001    0.000    0.001    0.000 {built-in method builtins.min}
       72    0.001    0.000    0.001    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\utils\_param_validation.py:446(__contains__)
       60    0.001    0.000    0.001    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\utils\validation.py:320(_num_samples)
       24    0.000    0.000    0.001    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:2162(sum)
      264    0.000    0.000    0.001    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\abc.py:117(__instancecheck__)
       24    0.000    0.000    0.001    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:69(_wrapreduction)
       12    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(unique)
       60    0.000    0.000    0.001    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\utils\_array_api.py:168(_asarray_with_order)
      204    0.000    0.000    0.001    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\_config.py:30(get_config)
       12    0.000    0.000    0.001    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\lib\arraysetops.py:138(unique)
      120    0.000    0.000    0.001    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\utils\_array_api.py:90(get_namespace)
     1472    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     1140    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      264    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
       36    0.000    0.000    0.001    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\joblib\parallel.py:89(get_active_backend)
       24    0.001    0.000    0.001    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       12    0.000    0.000    0.001    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\lib\arraysetops.py:323(_unique1d)
       48    0.000    0.000    0.001    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\_ufunc_config.py:32(seterr)
       12    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(empty_like)
       60    0.000    0.000    0.001    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\warnings.py:165(simplefilter)
       24    0.000    0.000    0.001    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\inspect.py:2913(__init__)
       96    0.000    0.000    0.001    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\utils\_param_validation.py:462(_has_valid_type)
       12    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(hstack)
      390    0.001    0.000    0.001    0.000 C:\Users\Kind1\dwhelper\ammtl\lib\types\page.py:70(<listcomp>)
       12    0.000    0.000    0.001    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\queue.py:34(__init__)
       24    0.000    0.000    0.001    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\utils\parallel.py:59(<genexpr>)
       12    0.000    0.000    0.001    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\joblib\parallel.py:411(effective_n_jobs)
      328    0.001    0.000    0.001    0.000 C:\Users\Kind1\dwhelper\ammtl\lib\misc.py:53(__init__)
       24    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\_ufunc_config.py:429(__enter__)
       36    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\queue.py:154(get)
      228    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\_config.py:22(_get_threadlocal_config)
       24    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\numeric.py:289(full)
       12    0.000    0.000    0.000    0.000 {built-in method numpy.array}
       24    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\neighbors\_base.py:1237(<genexpr>)
      216    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\enum.py:359(__call__)
       12    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\shape_base.py:285(hstack)
      816    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       60    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\warnings.py:181(_add_filter)
       12    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\joblib\_parallel_backends.py:213(get_nested_backend)
    24/12    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\joblib\parallel.py:772(_initialize_backend)
       12    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\utils\validation.py:1322(check_is_fitted)
       36    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\base.py:348(_check_n_features)
       24    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\base.py:136(<listcomp>)
  150/137    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\abc.py:121(__subclasscheck__)
       12    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\base.py:337(_get_tags)
       24    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\functools.py:35(update_wrapper)
       12    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\uuid.py:713(uuid4)
       24    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\_ufunc_config.py:434(__exit__)
       48    0.000    0.000    0.000    0.000 {built-in method builtins.next}
       12    0.000    0.000    0.000    0.000 {getStructuringElement}
       12    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\utils\parallel.py:67(delayed)
       60    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\warnings.py:458(__enter__)
       36    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\joblib\_parallel_backends.py:280(__init__)
       36    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\threading.py:236(__init__)
       36    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\utils\validation.py:267(_num_features)
  150/137    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       24    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(atleast_1d)
       24    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\_config.py:162(config_context)
       24    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\contextlib.py:139(__exit__)
       12    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\queue.py:122(put)
      240    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\inspect.py:2962(<genexpr>)
       48    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\_ufunc_config.py:131(geterr)
       12    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(concatenate)
       12    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\utils\validation.py:1385(<listcomp>)
       12    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\utils\parallel.py:93(delayed_function)
        1    0.000    0.000    0.000    0.000 {built-in method nt.listdir}
       24    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\contextlib.py:130(__enter__)
       24    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\contextlib.py:279(helper)
       12    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\joblib\_parallel_backends.py:513(effective_n_jobs)
       24    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\inspect.py:612(unwrap)
       12    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\uuid.py:138(__init__)
       12    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\utils\parallel.py:103(__init__)
      402    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\multiarray.py:341(where)
       60    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\utils\validation.py:571(_ensure_no_complex_data)
      120    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\utils\_array_api.py:70(asarray)
       60    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\warnings.py:477(__exit__)
       48    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\utils\_param_validation.py:258(__init__)
       24    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\base.py:151(<listcomp>)
       36    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\base.py:394(_check_feature_names)
       12    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\joblib\logger.py:39(short_format_time)
      624    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\inspect.py:2680(name)
       12    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\joblib\parallel.py:960(retrieve)
       12    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\joblib\parallel.py:376(__call__)
      480    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       24    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\inspect.py:66(get_annotations)
       24    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\shape_base.py:23(atleast_1d)
       24    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\contextlib.py:102(__init__)
       12    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\joblib\_parallel_backends.py:389(configure)
       60    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\joblib\_parallel_backends.py:34(__init__)
      108    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\utils\_array_api.py:63(__getattr__)
       24    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\threading.py:359(notify)
       12    0.000    0.000    0.000    0.000 {method 'sort' of 'numpy.ndarray' objects}
       12    0.000    0.000    0.000    0.000 C:\Users\Kind1\dwhelper\ammtl\lib\types\page.py:25(<listcomp>)
       24    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\utils\__init__.py:782(gen_even_slices)
       24    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\_config.py:48(set_config)
       60    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       12    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\joblib\disk.py:42(memstr_to_bytes)
      205    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
       48    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\utils\_param_validation.py:262(is_satisfied_by)
      216    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\enum.py:678(__new__)
       60    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\warnings.py:437(__init__)
       12    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       36    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
      168    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\utils\_param_validation.py:226(__init__)
       12    0.000    0.000    0.000    0.000 C:\Users\Kind1\dwhelper\ammtl\lib\types\preset.py:4(__init__)
      328    0.000    0.000    0.000    0.000 C:\Users\Kind1\dwhelper\ammtl\lib\types\bubble.py:50(checkForContent)
       12    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\neighbors\_unsupervised.py:135(__init__)
       84    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\scipy\sparse\_base.py:1301(isspmatrix)
       48    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\threading.py:264(__enter__)
      384    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\inspect.py:2692(kind)
       12    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\joblib\parallel.py:199(__init__)
       24    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       48    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\utils\_param_validation.py:328(is_satisfied_by)
       48    0.000    0.000    0.000    0.000 {built-in method numpy.seterrobj}
       12    0.000    0.000    0.000    0.000 {method 'flatten' of 'numpy.ndarray' objects}
       12    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\joblib\_parallel_backends.py:185(in_main_thread)
      216    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      180    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       48    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\threading.py:267(__exit__)
